,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
0,,3,3,72.0,69.0,2,2,2.0,1400.0,1350.0,0.0,0,"
",4,4,3,3,5,6,2,0,0.0,1.0,1,0,0,2,20.0,2
1,,2,2,60.0,90.0,3,2,2.0,1000.0,1125.0,0.0,0,0,2,3,3,3,5,6,2,0,0.0,1.0,1,0,0,2,20.0,2
2,,2,2,210.0,100.0,4,2,1.0,2400.0,1999.0,0.0,0,0,3,5,2,2,5,6,3,1,1.0,2.0,1,0,0,2,20.0,2
3,,2,2,120.0,54.0,3,1,1.0,800.0,850.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,3.0,0,0,0,2,20.0,2
4,,2,2,60.0,90.0,3,2,2.0,800.0,1175.0,1025.0,1,1,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,2,20.0,2
5,,2,2,233.0,177.0,5,3,2.0,2000.0,3700.0,0.0,0,0,4,4,3,3,4,4,2,0,0.0,2.0,1,0,0,2,20.0,2
6,,2,2,84.0,120.0,3,2,2.0,1000.0,1300.0,1200.0,1,1,2,3,4,4,5,6,3,1,1.0,1.0,1,0,0,2,20.0,2
7,,2,2,120.0,100.0,2,1,1.0,1150.0,1300.0,0.0,0,0,4,4,4,4,5,6,3,0,0.0,2.0,1,0,0,2,20.0,2
8,,2,2,120.0,70.0,3,1,1.0,1150.0,1350.0,0.0,0,0,3,5,4,4,5,6,2,0,0.0,2.0,1,1,1,2,20.0,2
9,,2,2,122.5,94.0,3,2,1.0,1200.0,1250.0,0.0,0,0,3,5,2,2,5,6,2,0,0.0,2.0,0,0,0,2,20.0,2
10,,3,3,180.0,220.0,4,3,2.0,3500.0,3600.0,0.0,0,0,4,4,2,2,5,6,3,1,1.0,2.0,1,1,1,1,8.0,1
11,,3,3,210.0,170.0,3,2,1.0,2500.0,2300.0,1900.0,1,1,2,3,2,2,5,6,3,1,1.0,3.0,0,0,0,2,20.0,1
12,,2,2,136.0,138.0,4,4,2.0,2000.0,2600.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,2.0,1,1,1,2,20.0,0
13,,2,2,200.0,258.0,4,3,2.0,2500.0,3750.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,2.0,0,1,1,2,20.0,0
14,,3,3,120.0,124.0,4,4,2.0,2000.0,2500.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
15,,2,2,135.0,240.0,4,4,2.0,1500.0,2100.0,0.0,0,0,3,5,2,2,5,6,2,0,0.0,2.0,1,1,1,1,8.0,2
16,,3,3,372.0,400.0,5,4,2.0,10000.0,15500.0,0.0,0,0,3,5,2,2,4,4,3,0,0.0,2.0,1,0,0,1,8.0,1
17,,3,3,166.0,210.0,5,4,2.0,3000.0,3400.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
18,,3,3,90.0,85.0,3,3,2.0,1850.0,1800.0,0.0,0,0,4,4,4,4,5,6,3,0,0.0,1.0,1,0,0,2,20.0,3
19,,3,3,50.0,45.0,1,2,2.0,900.0,950.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,1.0,1,0,0,2,20.0,3
20,,3,3,50.0,45.0,1,2,2.0,900.0,983.3,869.93,1,1,4,4,2,2,5,6,3,0,0.0,1.0,1,1,1,2,20.0,3
21,,3,3,105.0,96.0,3,3,2.0,1600.0,1900.0,0.0,0,0,2,3,2,2,5,6,3,0,0.0,1.0,1,0,0,2,20.0,3
22,,3,3,55.0,45.0,1,2,2.0,1000.0,1022.7,905.43,1,1,4,4,2,2,5,6,3,0,0.0,1.0,1,1,1,2,20.0,3
23,,3,3,55.0,45.0,1,2,2.0,1000.0,900.0,0.0,0,0,2,3,4,4,5,6,3,0,0.0,1.0,1,0,0,2,20.0,3
24,,3,3,50.0,53.0,2,2,2.0,1000.0,1020.5,903.45,1,1,4,4,3,3,5,6,3,0,0.0,1.0,1,1,1,2,20.0,3
25,,3,3,72.0,69.0,2,2,2.0,1200.0,1400.0,0.0,0,0,2,3,3,3,5,6,3,0,0.0,1.0,1,0,0,2,20.0,3
26,,2,2,72.0,46.0,2,1,1.0,1000.0,1085.2,961.68,1,1,4,4,4,4,5,6,3,0,0.0,1.0,1,1,1,2,20.0,2
27,,2,2,72.0,46.0,2,1,1.0,1000.0,900.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,1.0,1,0,0,2,20.0,2
28,,2,2,72.0,46.0,2,1,1.0,1000.0,1025.2,907.68,1,1,4,4,2,2,5,6,3,0,0.0,1.0,1,1,1,2,20.0,2
29,,2,2,72.0,46.0,2,1,1.0,1000.0,1000.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,2,20.0,2
30,,2,2,90.0,70.0,2,2,2.0,1400.0,1600.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,2,20.0,2
31,,2,2,72.0,46.0,2,1,1.0,800.0,825.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,2,20.0,2
32,,3,3,210.0,280.0,4,4,2.0,3250.0,4000.0,3150.0,1,1,4,4,4,4,5,6,3,1,1.0,1.0,1,0,0,2,20.0,1
