IDCode,Property Date,AgentData.Name,Cabang,Province.Title,LocationData.Title,Area.Title,Address,Type,Transaction,LT,LB,KT,KM,PriceFormat,Status Property,Certificate,Judul,Air,Listrik,Tipe Listing,Deskripsi
241225-BRPI00148,6/24/25 12:56,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND TAMAN INTERNATIONAL VILLAGE I,Rumah,Jual,210,125,3+1,3,"3,250,000,000",Sale,SHM,RUMAH CITRALAND TAMAN INTERNATIONAL VILLAGE I SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH TAMAN INTERNATIONAL VILLAGE I CITRALAND SURABAYA

LT: 210

LB: 125 

KT: 3+1

KM: 3 

LISTRIK: 2200WATT 

AIR: PAM

SERTIFIKAT: SHM

- 2 LANTAI

- GARASI + CARPORT 

HARGA: 3.25M NEGO"
241225-BRPI00147,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND PALMA GRANDIA,Tanah,Jual,560,,,,"4,480,000,000",Sale,HGB,TANAH KAVLING PALMA GRANDIA CITRALAND SURABAYA,,,OPEN,"(JUAL) TANAH PALMA GRANDIA CITRALAND SURABAYA

LT: 560 

DIMENSI: 20X28 

HADAP: TIMUR UTARA 

SERTIFIKAT: HGB

- POSISI HOOK

- ROW JALAN 15 METER

HARGA PER METER: 8JT/M2

HARGA TOTAL: 4.48M"
241225-BRPI00146,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Wiyung,BABATAN PRATAMA XVII,Rumah,Sewa,126,105,3+1,1+1,"45,000,000",Sold,SHM,RUMAH 1 LANTAI BABATAN PRATAMA SURABAYA,PDAM,2200,OPEN,"(SEWA) RUMAH BABATAN PRATAMA XVII SURABAYA

LT: 126

LB: 105

DIMENSI: 7X18 

KT: 3+1

KM: 1+1

HADAP: SELATAN

LISTRIK: 2200WATT

AIR: PDAM

SERTIFIKAT: SHM

- 1 LANTAI

- 2 UNIT AC

- FULL BANGUNAN

- BARU SELESAI RENOVASI, CAT, DAN LAIN-LAIN

- SIAP HUNI

- MINIMAL SEWA 1TH

HARGA: 45JT/TH NETT"
241225-BRPI00145,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,PAKUWON INDAH PAKUWON MALL SQUARE,Tanah,JualSewa,121.8,,,,"9,500,000,000",Sale,PPJB,TANAH KAVLING STRATEGIS PAKUWON MALL SQUARE SURABAYA,,,OPEN,"(JUAL/SEWA) TANAH KAVLING PAKUWON MALL SQUARE PAKUWON INDAH SURABAYA 

LT: 121.8 

DIMENSI: 6X20.3 

HADAP: BARAT LAUT 

SERTIFIKAT: PPJB

- TANAH KAVLING DEPAN ATAU SAMPING PAKUWON MALL

- DEPAN SAMPOERNA ACADEMY SURABAYA

HARGA SEWA: 230JT/TH (NEGO TIPIS) (MIN SEWA 5TH) 

HARGA JUAL: 9.5M NEGO "
241225-BRPI00144,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Citraland,CITRALAND PALMA GRANDIA,Rumah,Jual,180,158,4+1,4+1,"2,400,000,000",Sale,PPJB,RUMAH PALMA GRANDIA CITRALAND SURABAYA,PDAM,2200,OPEN,"(JUAL) RUMAH PALMA GRANDIA CITRALAND SURABAYA

LT: 180

LB: 158

KT: 4+1

KM: 4+1

HADAP: BARAT

LISTRIK: 2200WATT

AIR: PAM

SERTIFIKAT: PPJB

- 2 LANTAI

- KOSONGAN

- KT ADA KM DALAM

- ROW JALAN LEBAR

- RUMAH BARU GRESS

HARGA: 2.4M"
241225-BRPI00143,6/24/25 12:55,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,ORCHARD,Apartment,Jual,25,25,1,1,"450,000,000",Sale,PPJB,APARTEMEN ORCHARD STUDIO FURNISHED,PAM,2200,OPEN,"(JUAL) APARTEMEN ORCHARD SURABAYA

LT: 25

LB: 25 

KT: 1 (TIPE STUDIO)

KM: 1

HADAP: TIMUR/UTARA 

AIR: PAM

SERTIFIKAT: PPJB

- TIPE STUDIO

- VIEW CITY

- FULL FURNISHED

- TV

- AC

- KULKAS

- KOMPOR LISTRIK

- MICROWAVE

- PERALATAN MASAK DAN MAKAN

HARGA: 450JT NEGO"
241225-BRPI00142,6/24/25 12:52,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Wonocolo,THE CITY SQUARE TOWER A,Apartment,Sewa,31.5,31.5,2,1,"25,000,000",Sale,Lain-lain,APARTEMEN THE CITY SQUARE SURABAYA,PDAM,3500,OPEN,"(SEWA) APARTEMEN THE CITY SQUARE TOWER A SURABAYA

LT: 31.5

LB: 31.5 

KT: 2

KM: 1 

AIR: PAM

- VIEW CITY

- KOSONGAN

- PANTRY

- FASUM FASOS, SWIMMING POOL, SPA SAUNA, FITNESS CENTER, CAFE 

HARGA: 25JT/TH NETT"
241225-BRPI00141,6/24/25 12:51,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon City,EDUCITY TOWER HARVARD,Apartment,JualSewa,21,21,1,1,"375,000,000",Sale,Lain-lain,APARTEMEN EDUCITY TOWER HARVARD SURABAYA,PAM,2200,OPEN,"(JUAL/SEWA) APARTEMEN EDUCITY TOWER HARVARD SURABAYA

LT: 21

LB: 21 

KT: 1 (TIPE STUDIO)

KM: 1 

AIR: PAM

SERTIFIKAT: STRATA TITLE

- TIPE STUDIO

- VIEW CITY

- KITCHEN SET

- TV 32â€

- LEMARI PAKAIAN

- 1 UNIT AC

- BALKON

HARGA SEWA: 25JT/TH

HARGA JUAL: 375T "
241225-BRPI00140,6/24/25 12:48,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,LA RIZ,Apartment,Jual,54,54,2,1,"1,800,000,000",Sale,PPJB,APARTEMEN LA RIZ FULL FURNISHED,PAM,2200,OPEN,"(JUAL) APARTEMEN LA RIZ SURABAYA

LT: 54

LB: 54 

KT: 2

KM: 1 

AIR: PAM

SERTIFIKAT: PPJB

- VIEW CITY DAN POOL

- TIPE 2BR

- FULL FURNISHED

- CONNECT PAKUWON MALL 

HARGA: 1.8M NEGO"
241225-BRPI00139,6/24/25 12:48,ANNEKE (AOJ),"Brighton Winner Pakuwon Indah, Surabaya",Jawa Timur,Surabaya,Pakuwon Indah,ANDERSON,Apartment,Jual,54,54,2,1,"1,400,000,000",Sale,PPJB,APARTEMEN ANDERSON FULL FURNISHED,PAM,2200,OPEN,"(JUAL) APARTEMEN ANDERSON SURABAYA

LT: 54

LB: 54 

KT: 2

KM: 1 

AIR: PAM

SERTIFIKAT: PPJB

- TIPE 2BR

- VIEW POOL

- KAMAR ANAK MEMPUNYAI 3 SUSUN RANJANG DOUBLE BED

- FULL FURNISHED

- CONNECT PAKUWON MALL 

HARGA: 1.4M"
