Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai ,Harga Penawaran (dari Owner),Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW)
3,240,300,4,3,2,3500000000,1,3,2,2
4,30,60,2,1,2,287799000,1,3,2,1
3,170,170,5,4,2,2699999999,1,1,0,2
1,187,250,5,5,2,3100000000,1,3,2,2
2,350,600,5,5,2,5000000000,1,0,2,2
2,450,530,5,6,2,10800000000,1,3,2,2
4,96,60,2,1,1,390000000,1,3,2,2
2,85,100,3,2,2,725000000,1,3,2,2
4,72,120,4,1,1,775000000,1,0,3,1
3,50,100,2,2,2,850000000,1,3,2,2
3,72,72,3,2,1,1100000000,1,1,2,3
4,100,90,2,2,1,1199999999,1,3,2,2
2,90,76,2,2,2,1266655525,1,3,2,2
3,104,215,4,4,2,1350000000,1,2,2,2
3,104,215,4,4,2,1350000000,1,2,2,2
3,84,120,4,2,2,1350000000,1,1,2,3
3,158,230,2,2,2,1650000000,1,1,2,2
3,144,182,4,3,2,2100000000,1,1,2,2
2,163,180,5,4,2,2100000000,1,1,2,2
4,150,150,2,1,1,2300000000,1,3,2,1
3,140,140,3,2,2,2400000000,1,3,2,2
2,96,228,4,2,2,2699999999,1,3,2,2
3,204,250,3,4,2,2750000000,1,3,2,3
2,144,180,5,4,2,2900000000,1,1,2,2
3,200,180,4,3,1,3200000000,1,3,2,2
3,180,320,6,4,2,3200000000,1,1,2,3
3,180,160,4,4,2,3700000000,1,1,2,2
3,200,250,4,3,2,3900000000,1,3,2,2
3,420,570,5,4,2,4500000000,1,2,2,2
2,204,270,5,4,2,4700000000,1,2,3,3
2,200,211,4,5,2,4900000000,1,1,2,3
2,312,500,6,5,2,5500000000,1,3,2,2
2,264,400,4,3,2,5500000000,1,1,2,2
2,240,263,4,3,2,6000000000,1,3,2,2
3,297,290,8,3,2,7500000000,1,3,3,2
2,352,367,5,7,2,8250000000,1,3,3,3
1,450,498,5,3,2,9500000000,1,2,2,2
1,343,601,7,4,3,12000000000,1,0,3,2
3,525,300,6,3,1,13500000000,1,3,2,2
3,522,1000,7,6,2,18000000000,1,3,2,2
3,600,600,7,5,1,99000000000,1,0,2,2
3,180,240,5,5,2,10500000000,1,2,2,3
4,14,14,1,1,2,180000000,1,3,2,1
4,42,42,2,1,1,185000000,1,3,2,1
4,21,40,2,1,2,225000000,1,3,2,2
4,16,150,2,1,2,230000000,1,3,2,2
3,18,36,2,1,2,250000000,1,3,2,2
4,32,16,2,1,2,260000000,1,3,2,2
4,26,50,2,2,2,310000000,1,3,2,1
4,36,36,2,1,2,340000000,1,3,2,1
4,50,50,2,1,1,375000000,1,3,2,2
3,32,64,2,2,2,440000000,1,3,2,2
3,51,70,2,2,2,477500000,1,3,2,2
4,36,36,2,2,2,550000000,1,3,2,2
4,65,50,2,1,1,620000000,1,3,2,3
3,85,70,3,1,1,625000000,1,3,2,2
2,252,300,5,5,2,645000000,1,3,3,2
3,72,50,2,1,1,650000000,1,1,2,2
4,51,135,5,2,3,750000000,1,3,2,2
3,113,53,2,1,1,850000000,1,3,2,2
3,100,190,4,4,3,895000000,1,3,2,3
3,50,100,6,6,2,925000000,1,3,2,2
3,55,80,3,2,2,950000000,1,3,2,2
3,72,72,2,1,1,975000000,1,1,2,2
3,84,140,4,2,2,1000000000,1,2,2,2
4,130,130,3,2,1,1050000000,1,1,2,2
3,97,50,2,1,1,1149000000,1,0,2,3
3,110,200,3,2,2,1350000000,1,2,2,2
3,157,300,4,5,2,3450000000,1,2,2,2
2,96,120,4,4,2,2800000000,1,3,2,2
3,105,190,4,4,2,3199000000,1,3,2,2
3,180,280,5,4,2,3950000000,1,3,2,2
2,180,232,4,4,2,4500000000,1,1,2,2
2,240,300,5,5,2,4888888888,1,2,3,2
3,240,320,5,5,2,8000000000,1,1,2,2
2,660,550,3,4,2,12999999999,1,3,2,2
2,450,620,6,6,2,15500000000,1,1,2,2
1,845,1200,7,8,2,39999990000,1,3,2,2
2,144,180,5,4,2,2900000000,1,1,2,2
3,170,120,4,3,1,2400000000,1,3,2,3
2,178,165,4,4,2,2950000000,1,1,2,3
2,166,225,6,4,2,3100000000,1,1,2,2
3,120,130,3,2,2,1350000000,1,3,2,2
2,60,100,3,2,2,1350000000,1,2,2,2
2,57,101,3,1,2,1376000000,1,3,2,3
3,275,260,3,2,1,3500000000,1,3,2,2
2,378,365,5,5,1,7500000000,1,3,2,2
2,158,220,4,3,2,2699000000,1,3,2,2
4,16,16,1,1,1,160000000,1,2,2,1
3,72,96,3,2,2,1400000000,1,3,2,2
3,102,208,6,4,2,1400000000,1,3,2,2
3,83,110,3,3,2,1400000000,1,2,2,3
3,126,154,5,3,2,1450000000,1,3,2,2
3,180,324,7,3,2,1600000000,1,1,2,3
3,60,100,3,2,2,975000000,1,3,2,1
3,120,130,3,3,2,1350000000,1,3,2,2
2,212,152,5,3,2,2900000000,1,2,3,2
3,72,36,2,1,1,315000000,1,3,2,2
3,134,200,7,2,2,2000000000,1,3,2,3
4,495,495,3,2,2,325000000,1,3,2,1
3,71,117,4,4,2,1600000000,1,3,2,2
2,88,123,3,3,2,1600000000,1,3,2,3
3,114,119,4,3,2,1650000000,1,3,2,2
3,120,240,5,2,2,1700000000,1,2,2,2
3,79,115,3,3,2,1800000000,1,1,3,2
2,144,190,4,3,2,1890000000,1,3,2,3
2,93,107,3,3,2,1900000000,1,0,2,2
3,157,362,7,3,2,1950000000,1,3,2,2
2,84,139,3,2,2,1950000000,1,3,2,3
2,90,145,4,4,2,1990000000,1,2,3,2
3,134,200,7,2,2,2000000000,1,3,2,3
3,120,200,4,3,2,2100000000,1,1,2,2
